Structures,Volume in nm3
BEVRAW_clean.cif,0.7
BEVWAB_clean.cif,4.5
BEWRUR_clean.cif,14.7
BEWSAY_clean.cif,14.5
BEWVEG_clean.cif,4.3
BEWVOQ_clean.cif,4.3
BEWWEH_clean.cif,6.9
BEXPAX_clean.cif,2.5
BEXQIF_clean.cif,4.9
BEXQOL_clean.cif,4.9
BEXQUR_clean.cif,4.8
BEXRAY_clean.cif,5.3
BEXREC_clean.cif,5.1
BEXRIG_clean.cif,5.1
BEXRUT_clean.cif,2.7
BEXSAA_clean.cif,2.9
BEXSEE_clean.cif,2.8
BEXSII_clean.cif,2.9
BEXTUV_clean.cif,1.5
BEXVAD01_clean.cif,2.9
BEXVAD_clean.cif,2.9
BEXVEH_clean.cif,12.7
BEXVIL_clean.cif,4.7
BEYKEX_clean.cif,3.6
BEYSEF_clean.cif,4.0
BEZDUH_clean.cif,1.0
BEZSIK_clean.cif,1.3
BIBBUL_clean.cif,2.6
BIBMAC_clean.cif,6.0
BIBMEG_clean.cif,6.1
BIBMIK_clean.cif,4.4
BIBXOB_clean.cif,12.1
BIBXUH_clean.cif,5.8
BIBYAO_clean.cif,12.5
BICDAU_clean.cif,6.0
BICPOT_clean.cif,4.3
BICPUA_clean.cif,11.0
BIDPOV_clean.cif,19.0
BIFGOO_clean.cif,4.9
BIFKEI_clean.cif,2.9
BIHBEB_clean.cif,7.3
BIHMUC_clean.cif,1.6
BIHRER_clean.cif,7.5
BIJDUV_clean.cif,10.7
BIJFAD_clean.cif,10.6
BIJJOV_clean.cif,2.9
BIMDEF_clean.cif,1.1
BIMDIL_clean.cif,1.0
BIMDOR_charged.cif,4.6
BINCUY_clean_b.cif,11.0
BINCUY_manual.cif,11.0
BINDAF_clean_b.cif,10.7
BINDAF_manual.cif,10.7
BINMIW_clean.cif,9.4
BIPBAF_clean.cif,14.1
BIPKIW_clean.cif,13.3
BIPLIX_clean.cif,7.7
BIQFOW_clean.cif,1.8
BIQHEQ_clean.cif,3.2
BIQRIE_clean.cif,3.2
BIQVII_clean.cif,2.8
BIRGIU_clean.cif,5.3
BIRLIZ_clean.cif,4.8
BIRMUM_clean.cif,4.7
BIRSEC_clean.cif,3.6
BIRSIG_clean.cif,3.5
