,STRUCTURE_NAME,a,b,c,UnitCell
11967,XEKJON_clean,18.034000000000002,18.034000000000002,8.791,1 1 2
11968,XEKJUT_clean,18.421,18.421,8.537,1 1 2
11969,XEKMIL_clean,10.237,11.2579,22.1898,2 2 1
11970,XEMHOM_clean,20.7748,12.0341,10.3486,1 1 2
11971,XENCAU_clean,22.3175,22.3175,21.0429,1 1 1
11972,XENKIM_clean,13.5488,21.114,21.114,1 1 1
11973,XENMIO_clean,6.3108,12.639000000000001,15.630999999999998,2 1 1
11974,XENMIO_SL,6.3108,12.639000000000001,15.630999999999998,2 1 1
11975,XENMOU_clean,6.3303,12.6819,15.6877,2 1 1
11976,XENMOU_SL,6.3303,12.6819,15.6877,2 1 1
11977,XENZEX_clean,12.3245,12.3245,5.961,1 1 3
11978,XEPBAX_clean,18.079,16.435,11.603,1 1 2
11979,XEQGAC_clean,7.0465,15.645999999999999,17.396,2 1 1
11980,XEQGEH_clean,11.972000000000001,12.043,27.791999999999998,2 1 1
11981,XEQLEM01_clean,9.846,10.9975,12.8415,2 2 1
11982,XEQLEM_clean,9.8836,10.9817,12.8681,2 2 1
11983,XEQRAO_clean,7.8951,9.807,17.3671,2 2 1
11984,XESGOS_clean,8.5552,10.1133,16.7025,2 2 1
11985,XESKAJ_clean,6.2966,16.3614,16.3614,2 1 1
11986,XESKEN_clean_h,6.2202,16.4387,16.4387,2 1 1
11987,XESKEN_SL,28.2453,28.2453,6.2202,1 1 2
11988,XESKIR_clean_h,6.4265,16.6399,16.6399,2 1 1
11989,XESKOX_clean,5.9631,15.1823,15.1823,3 1 1
11990,XESKUD_clean,28.0103,28.0103,6.4044,1 1 2
11991,XESLAK_clean,28.0942,28.0942,6.2846,1 1 2
11992,XEVGUC_clean,26.179000000000002,26.179000000000002,26.179000000000002,1 1 1
11993,XEVHAJ_clean,12.6947,12.6947,17.833,1 1 1
11994,XEVHEN_clean,12.7559,12.7559,17.741,1 1 1
11995,XEVVUQ_clean,8.4738,16.6853,16.2148,2 1 1
11996,XEWDUA_clean,8.8492,17.245,17.791,2 1 1
11997,XEWFAI_clean,8.619,17.817999999999998,18.385,2 1 1
11998,XEWRUO_clean,9.9411,9.9411,11.21,2 2 2
11999,XEXLAP_clean,5.0169,20.6949,24.9851,3 1 1
12000,XEXLET_clean,4.9738,24.836,20.663,3 1 1
12001,XEXLIX_clean,5.6415,14.847000000000001,27.633000000000003,3 1 1
12002,XEXLOD_clean,5.5797,16.7931,25.9231,3 1 1
12003,XEXLUJ_clean,5.6137,17.1499,26.3769,3 1 1
12004,XEXMAQ_clean,5.5871,25.9462,17.4983,3 1 1
12005,XEXMEU_clean,5.6364,18.8863,25.301,3 1 1
12006,XEXNEV_clean,7.1963,14.909,24.592,2 1 1
12007,XEYMAR_clean,18.0043,18.1594,21.1164,1 1 1
12008,XEZPUP_clean,9.987,11.664000000000001,22.771,2 2 1
12009,XEZRIF_clean,17.2547,10.5045,26.609,1 2 1
12010,XIBZUF_clean,14.459000000000001,20.243,21.109,1 1 1
12011,XICDUI_charged,8.9646,22.8924,23.9497,2 1 1
12012,XICNOO01_clean,27.5984,27.5984,27.5984,1 1 1
12013,XICNOO02_clean,27.662,27.662,27.662,1 1 1
12014,XICNOO_clean,27.6549,27.6549,27.6549,1 1 1
12015,XICVUB_clean,11.6531,21.9875,15.3104,2 1 1
12016,XICYAL_clean,17.9946,20.49,27.772,1 1 1
12017,XICYEP_clean,13.53,19.71,28.3,1 1 1
12018,XICYEP_SL,13.53,19.71,28.3,1 1 1
12019,XICYIT_clean,13.57,19.8,28.39,1 1 1
12020,XICYIT_SL,13.57,19.8,28.39,1 1 1
12021,XICYUF_clean,53.68,53.68,53.68,1 1 1
12022,XICZAM_clean,27.5842,27.5842,27.5842,1 1 1
12023,XIDBUJ_clean,11.720999999999998,14.9546,14.9546,2 1 1
12024,XIDMED_clean,15.79,15.79,16.05,1 1 1
12025,XIDSUZ_clean,56.792,14.331,32.17,1 1 1
12026,XIFHIF_clean,8.5851,15.4118,28.0467,2 1 1
12027,XIFLOP_clean,16.178,16.178,6.8377,1 1 2
12028,XIFLUV_clean,16.201,16.201,6.9121,1 1 2
12029,XIGFOJ_clean5b,9.0389,24.498,45.853,2 1 1
12030,XIGFOJ_manual,9.0389,24.498,45.853,2 1 1
12031,XIGHAX_clean,14.809000000000001,19.3008,31.842,1 1 1
12032,XIGHEB_clean,35.91,14.833,32.04,1 1 1
12033,XIGHIF_clean,14.845,19.4518,30.8,1 1 1
12034,XIGLOQ_clean,20.5262,20.5262,20.152,1 1 1
12035,XIGWUF_clean,13.5285,13.5285,14.277000000000001,1 1 1
12036,XIHRIQ_clean,10.725,13.331,15.2614,2 1 1
12037,XIHSAJ01_clean,14.1239,18.3243,20.6657,1 1 1
12038,XIHSAJ_clean,11.6636,11.663601,20.63,2 2 1
12039,XIHSEN01_clean,11.22,11.22,21.149,2 2 1
12040,XIHSEN_clean,11.2363,11.2363,20.932,2 2 1
12041,XIHXAP_clean,12.645999999999999,14.834000000000001,16.0521,1 1 1
12042,XIHXET_clean,7.4574,12.463,29.451,2 1 1
12043,XIJJEH_clean,38.757,38.757,38.757,1 1 1
12044,XIJPAI_clean,19.7205,19.7205,22.9816,1 1 1
12045,XILDUT_clean,12.7907,12.7907,19.258,1 1 1
12046,XILLEL_clean,32.702,32.702,32.702,1 1 1
12047,XILLIP_clean,21.703000000000003,20.062,22.121,1 1 1
12048,XILSUI_clean,22.136,16.647000000000002,16.551,1 1 1
12049,XILTAP_clean,22.058000000000003,16.9068,16.24,1 1 1
12050,XILVEV_clean,13.4588,13.4588,14.6388,1 1 1
12051,XILVIZ_clean,13.372,14.164001,16.713,1 1 1
12052,XIMPOA01_clean,14.774000000000001,15.652999999999999,16.871,1 1 1
12053,XIMPOA_clean,14.552,15.639000000000001,16.764,1 1 1
12054,XINFUW_clean,12.6977,15.1033,18.903,1 1 1
12055,XINHOT_clean,12.3896,12.4401,16.5787,1 1 1
12056,XINJAH_clean,8.785,12.332,19.09,2 1 1
12057,XINRAP_clean,14.7928,14.7928,14.792759,1 1 1
12058,XINWUO_clean,11.3887,13.749478,13.749496,2 1 1
12059,XINXAV_clean,17.709,17.709,11.523,1 1 2
12060,XINYAW_clean,20.2203,20.2203,17.4841,1 1 1
12061,XINZEB_clean,7.152,18.283,19.947,2 1 1
12062,XIPBII_clean,15.2764,15.4318,15.4318,1 1 1
12063,XIPBOO_clean,15.212,15.212,15.450999999999999,1 1 1
12064,XIPGUA_clean,11.880999999999998,15.07,18.338,2 1 1
12065,XIPHIN_clean,14.956,23.671,9.026,1 1 2
12066,XIPTAS_clean,7.6668,9.8734,14.905,2 2 1
12067,XIPTEW_clean,7.6004,9.8077,14.7145,2 2 1
