STRUCTURE_NAME,Volume [nm^3],x_box [A],y_box [A],z_box [A],UnitCell,unit vector a,unit vector b,unit vector c,Framework Mass [g/mol],Framework Density [kg/m^3]
ESUVAR02_clean,1.0648121073596202,8.98139,9.45662,10.85863,3 3 3,10.254100000000 5.158478756683 -0.333579576608,0.000000000000 9.563134078682 1.634317139893,0.000000000000 0.000000000000 10.858633806899,1066.100124839047,1662.547346728548
ESUVAR_clean,1.203770367268957,9.94102,9.95535,11.09611,3 3 3,10.852000000000 4.375829034592 0.348021685724,0.000000000000 9.996847454074 1.014220528631,0.000000000000 0.000000000000 11.096111141547,1066.100124839047,1470.629774573636
ESUVOF_clean,2.5566898896559427,17.68895,12.86800,11.18601,2 2 3,17.762000000000 0.000000000000 -1.017612802569,0.000000000000 12.868000000000 0.000000000000,0.000000000000 0.000000000000 11.186008270337,2132.200249678097,1384.837911721397
ETAXIH_clean,3.637921084516125,12.42487,12.42487,20.40800,2 2 2,14.347000000000 -7.173500000000 0.000000000000,0.000000000000 12.424866468095 0.000000000000,0.000000000000 0.000000000000 20.408000000000,3583.184708294598,1635.554162632918
ETAXUT_clean,31.54964525442592,25.57893,25.57893,41.76000,1 1 1,29.536000000000 -14.768000000000 0.000000000000,0.000000000000 25.578926326177 0.000000000000,0.000000000000 0.000000000000 41.760000000000,13708.769915081128,721.527711519316
ETAYAA_clean,2.864044731722071,12.41808,13.24395,14.45454,2 2 2,14.960900000000 7.480440879671 5.260424061435,0.000000000000 13.243953884537 -0.000002052567,0.000000000000 0.000000000000 14.454544707249,1883.705655033069,1092.149907882613
ETECIR_clean,6.156099229955151,25.13350,25.13350,9.74540,1 1 3,25.133500000000 0.000000000000 0.000000000000,0.000000000000 25.133500000000 0.000000000000,0.000000000000 0.000000000000 9.745400000000,5357.853031634039,1445.220767041112
ETECOX_clean,6.083704850731962,26.07670,26.07670,8.94670,1 1 3,26.076700000000 0.000000000000 0.000000000000,0.000000000000 26.076700000000 0.000000000000,0.000000000000 0.000000000000 8.946700000000,3949.547567601213,1078.023482390252
ETEJIX01_clean,1.3149827897331958,9.71995,10.57118,11.44401,3 3 3,10.434000390000 -1.826090658090 -3.489147280656,0.000000000000 11.012627009384 -3.341636322801,0.000000000000 0.000000000000 11.444011619184,858.089621191939,1083.581517651598
ETEJIX_clean,1.355406026077635,9.68188,10.73096,11.53004,3 3 3,10.533999620000 -1.776279895552 -4.065559744754,0.000000000000 11.159517815240 -3.290957632697,0.000000000000 0.000000000000 11.530036549016,864.137265715314,1058.674203385261
ETEJOD01_clean,1.316446829563914,9.58958,10.60213,11.44588,3 3 3,10.419499740000 -1.737257857133 -3.995898652344,0.000000000000 11.038429048162 -3.317286310252,0.000000000000 0.000000000000 11.445879891734,872.782738986262,1100.910044789760
ETEJOD_clean,1.3382303768015762,9.66877,10.61168,11.47614,3 3 3,10.523000000000 -1.511267380031 -4.203599047005,0.000000000000 11.081422602990 -3.452244355252,0.000000000000 0.000000000000 11.476138896147,908.813311856106,1127.697985231548
ETEJUJ_clean,1.327529186335994,9.66561,10.52661,11.44560,3 3 3,10.515199820000 -1.292642186394 -4.296342699386,0.000000000000 11.030315702063 -3.582884781286,0.000000000000 0.000000000000 11.445601085721,889.074936309805,1112.098609878682
ETEKAQ01_clean,1.279827014849123,9.69794,10.33490,11.33019,3 3 3,10.413999960000 -1.529614129571 -3.626671313298,0.000000000000 10.846676512033 -3.609540111238,0.000000000000 0.000000000000 11.330185319343,902.846483688325,1171.417334570996
ETEKAQ01_clean5b,1.279827026944911,9.69794,10.33490,11.33019,3 3 3,10.414000000000 -1.529613693595 -3.626671755362,0.000000000000 10.846676815890 -3.609540463862,0.000000000000 0.000000000000 11.330185065506,902.846483688326,1171.417323499801
ETEKAQ01_manual,1.279827026944911,9.69794,10.33490,11.33019,3 3 3,10.414000000000 -1.529613693595 -3.626671755362,0.000000000000 10.846676815890 -3.609540463862,0.000000000000 0.000000000000 11.330185065506,902.846483688326,1171.417323499801
ETEKAQ_clean,1.323408701737967,9.65374,10.48149,11.45305,3 3 3,10.522599920000 -1.270955716498 -4.373000364337,0.000000000000 10.981194675924 -3.578463357375,0.000000000000 0.000000000000 11.453054746374,902.846483688325,1132.840934533432
ETEKEU_clean,1.318172028403709,9.60673,10.38611,11.50980,3 3 3,10.550700300000 -1.249419493494 -4.653036440170,0.000000000000 10.854831069615 -3.496716445342,0.000000000000 0.000000000000 11.509798904730,922.860391763959,1162.553435255998
ETEMEX_clean,2.610350383771909,10.71899,14.16937,16.70876,3 2 2,10.799800000000 1.766168062345 0.167324789882,0.000000000000 14.465679865998 3.434937239561,0.000000000000 0.000000000000 16.708760862942,2434.694723415383,1548.797778682745
ETEMIB_clean,2.2275674948329662,9.96650,20.87470,10.47782,3 2 3,10.184500000000 0.000000000000 -2.203439467668,0.000000000000 20.874700000000 0.000000000000,0.000000000000 0.000000000000 10.477819597241,1848.491120463099,1377.956492292634
ETEPID_clean,15.196029322075999,27.99400,27.99400,19.39100,1 1 2,27.994000000000 0.000000000000 0.000000000000,0.000000000000 27.994000000000 0.000000000000,0.000000000000 0.000000000000 19.391000000000,10115.446774080043,1105.360535335536
ETEQUQ_clean,1.771763120631061,10.65560,10.42249,13.53190,3 3 2,11.967700000000 5.401417952562 3.932026292073,0.000000000000 10.940473734795 4.318927453158,0.000000000000 0.000000000000 13.531901745608,2363.825578626561,2215.433807607542
ETESIG_clean,3.859967939374582,11.08110,17.71000,19.51945,3 2 2,11.166000000000 0.000000000000 -2.420897419704,0.000000000000 17.710000000000 0.000000000000,0.000000000000 0.000000000000 19.519447140820,3133.530300274046,1348.028920622452
ETEXEI01_clean,2.2642297524877573,10.43432,15.61700,13.79101,3 2 2,10.513000000000 0.000000000000 -1.696744357800,0.000000000000 15.617000000000 0.000000000000,0.000000000000 0.000000000000 13.791014595898,2064.583411700390,1514.122277522107
ETEXEI_clean,2.245556832465169,10.39046,15.57220,13.77994,3 2 2,10.464700000000 0.000000000000 -1.650232498718,0.000000000000 15.572200000000 0.000000000000,0.000000000000 0.000000000000 13.779939015111,2064.583411700390,1526.712956049513
ETICIV_clean,5.949816877300691,14.41854,16.61300,24.74212,2 2 1,14.475000000000 0.000000000000 -2.191636325684,0.000000000000 16.613000000000 0.000000000000,0.000000000000 0.000000000000 24.742123013516,4943.174703427073,1379.594229075195
ETIPII_clean,3.3819573179098312,14.06515,10.99700,21.81251,2 3 2,14.099000000000 0.000000000000 -1.514185190872,0.000000000000 10.997000000000 0.000000000000,0.000000000000 0.000000000000 21.812507150893,2721.302682592572,1336.157753274661
ETIXAI_clean,5.210572226981615,13.59007,15.86412,22.74221,2 2 2,13.798000000000 -0.053325302043 -3.970215152079,0.000000000000 16.604914375334 -7.030720265166,0.000000000000 0.000000000000 22.742208626235,3818.565071663661,1216.924918372559
ETIXEM_clean,5.343480109086487,15.58887,21.42600,15.94682,2 2 2,15.639000000000 0.000000000000 -1.279885369028,0.000000000000 21.426000000000 0.000000000000,0.000000000000 0.000000000000 15.946820907383,4271.110379025093,1327.289340593244
ETIXIQ_clean,9.927454787689648,44.15154,15.01600,14.93730,1 2 2,44.260000000000 0.000000000000 -1.047661922642,0.000000000000 15.016000000000 0.000000000000,0.000000000000 0.000000000000 14.937304994404,5072.051580542686,848.388459431845
ETIXOW_clean,2.426272394687855,12.31125,10.82630,18.16988,2 3 2,12.334100000000 0.000000000000 -1.107497728042,0.000000000000 10.826300000000 0.000000000000,0.000000000000 0.000000000000 18.169878968842,2308.896106328981,1580.206496568237
