x y z dist_to_nearest atom_1 atom_2 atom_3 atom_4
0.939098 1.38781 5.49958 1.45256 103 107 2 112
4.6282 6.34211 16.89 1.45256 0 100 115 119
3.72275 2.47715 5.69519 1.45256 3 97 101 118
1.18457 1.17297 15.2103 1.45287 98 7 4 40
1.59908 9.12941 4.01552 1.45287 28 82 116 31
4.38273 6.55695 7.17925 1.45287 23 110 20 68
3.96822 -1.39949 18.374 1.45287 12 54 15 104
0.130594 11.0884 3.61748 1.45625 116 31 114 112
2.65306 3.13199 14.8122 1.45625 98 106 7 96
2.91424 4.59793 7.57729 1.45625 23 108 110 118
5.43671 -3.35851 18.7721 1.45625 100 15 102 104
3.93861 -3.30072 21.7299 1.46073 61 14 18 104
1.62869 11.0306 0.659671 1.46073 34 116 30 89
1.15496 3.0742 11.8544 1.46073 10 47 6 98
4.41234 4.65572 10.5351 1.46073 110 22 26 75
0.0481929 7.63723 18.6609 1.46482 1 100 119 102
2.83184 3.95765 14.9234 1.46482 106 96 113 0
5.51911 0.0926901 3.7286 1.46482 107 114 3 112
2.73546 3.77227 7.46616 1.46482 2 101 108 118
1.76466 3.91389 4.43281 1.46814 103 33 2 118
1.01899 7.77885 15.6276 1.46814 1 109 9 100
3.80264 3.81604 17.9567 1.46814 106 0 17 115
4.54831 -0.048924 6.76196 1.46814 3 97 112 25
0.34683 4.5257 21.1428 1.48482 34 29 35 91
3.13048 7.06919 12.4415 1.48482 77 21 26 27
5.22047 3.20422 1.24672 1.48482 63 13 19 18
2.43682 0.660738 9.94805 1.48482 5 10 11 49
2.57668 -0.358296 21.1839 1.498 61 12 52 18
0.206975 7.59815 9.98912 1.498 20 66 26 75
5.36033 0.131782 12.4004 1.498 10 47 38 4
2.99062 8.08822 1.20565 1.498 28 34 80 89
3.07863 8.09454 1.29012 1.49937 28 82 80 81
0.294977 7.59182 9.90465 1.49937 67 20 68 66
5.27232 0.138101 12.4849 1.49937 38 39 4 40
2.48867 -0.364616 21.0994 1.49937 12 54 52 53
1.64581 5.58056 5.72138 1.49955 33 23 117 118
3.92149 2.14937 16.6681 1.49955 105 106 7 17
1.13784 -2.37588 16.9161 1.49955 9 99 100 15
4.42946 10.1058 5.47338 1.49955 31 111 112 25
4.10353 1.82636 16.7196 1.50286 105 7 16 17
1.46377 5.90357 5.66992 1.50286 33 23 32 117
4.24742 9.7828 5.52484 1.50286 31 111 24 25
1.31988 -2.05287 16.8647 1.50286 8 9 99 15
3.11326 7.55535 20.6329 1.50298 84 93 102 104
0.329607 4.03953 12.9514 1.50298 70 98 92 96
2.45404 0.17457 1.75661 1.50298 56 116 95 114
5.23769 3.69039 9.43816 1.50298 94 108 110 42
0.552664 7.65646 14.5048 1.50656 21 65 109 9
3.33631 3.93843 19.0795 1.50656 17 29 79 115
2.23099 3.79149 3.31 1.50656 51 103 13 33
5.01464 0.0734667 7.88477 1.50656 37 97 25 5
4.95725 6.32633 6.58299 1.5104 32 67 78 117
3.3937 -1.63011 17.7778 1.5104 8 36 99 53
0.610046 1.4036 15.8065 1.5104 50 105 16 39
2.17361 9.36003 4.61178 1.5104 81 64 111 24
4.90729 3.70638 7.6358 1.51055 37 97 108 110
0.660013 4.02355 14.7537 1.51055 98 96 65 109
3.44366 7.57134 18.8306 1.51055 79 115 102 104
2.12364 0.158586 3.55896 1.51055 51 103 116 114
4.84366 6.04215 6.8736 1.51758 67 78 110 117
0.723638 1.68777 15.5159 1.51758 50 98 105 39
2.06001 9.64421 4.32116 1.51758 116 81 64 111
3.50729 -1.91428 18.0684 1.51758 36 99 53 104
1.32548 1.14218 6.31637 1.52061 2 97 101 112
4.24182 6.58774 16.0732 1.52061 109 113 0 100
1.45817 5.00714 17.5111 1.52061 106 1 115 119
4.10913 2.72278 4.87839 1.52061 103 107 3 118
1.79077 0.9661 5.90821 1.52316 103 101 111 112
3.77653 6.76382 16.4813 1.52316 113 99 100 115
4.57442 2.89886 5.28655 1.52316 107 97 117 118
0.992878 4.83106 17.103 1.52316 105 106 109 119
2.93012 3.88002 3.71773 1.52653 103 13 33 118
0.146471 -0.0150585 7.47704 1.52653 97 112 25 5
2.63718 3.8499 18.6718 1.52653 106 17 29 115
5.42083 7.74498 14.9125 1.52653 21 109 9 100
2.68048 -2.35071 14.8403 1.52938 8 9 48 99
0.103166 5.60572 3.64557 1.52938 33 90 32 117
2.88682 10.0806 7.5492 1.52938 76 111 24 25
5.46413 2.1242 18.744 1.52938 105 16 62 17
1.86536 7.54069 21.3184 1.53517 35 14 57 102
3.70194 0.189234 1.07114 1.53517 19 30 85 114
0.918293 3.67573 10.1236 1.53517 108 11 22 71
4.64901 4.0542 12.2659 1.53517 6 43 27 96
3.35378 4.11838 3.641 1.53898 13 33 78 118
2.21352 3.61154 18.7485 1.53898 50 106 17 29
4.99717 7.98334 14.8358 1.53898 21 9 36 100
0.57013 -0.253418 7.55376 1.53898 64 112 25 5
2.87882 10.0225 7.63763 1.54242 73 76 24 25
0.0951688 5.66385 3.55714 1.54242 33 90 32 87
5.47213 2.06607 18.8324 1.54242 59 16 62 17
2.68848 -2.29259 14.7519 1.54242 8 9 45 48
4.37001 2.72236 5.23392 1.54418 107 3 97 118
1.58636 1.1426 5.96084 1.54418 103 2 101 112
3.98094 6.58732 16.4287 1.54418 113 0 100 115
1.19729 5.00756 17.1556 1.54418 106 1 109 119
5.07784 7.5433 19.3229 1.54457 35 79 119 104
0.489459 0.18662 3.06666 1.54457 51 107 19 116
3.27311 3.67834 8.1281 1.54457 37 101 110 11
2.29419 4.05158 14.2614 1.54457 27 98 65 113
1.43187 3.8784 4.28984 1.54678 51 103 33 2
4.21552 -0.0134345 6.90493 1.54678 3 37 97 25
1.35178 7.74336 15.4846 1.54678 1 65 109 9
4.13543 3.85153 18.0997 1.54678 0 17 79 115
4.23399 3.82996 18.1078 1.56093 105 0 17 79
1.45034 7.76493 15.4765 1.56093 1 65 9 99
1.33331 3.89997 4.2817 1.56093 51 33 2 117
4.11696 -0.0350058 6.91307 1.56093 3 37 111 25
4.2783 4.4163 11.2188 1.56164 43 22 27 75
1.289 3.31363 11.1708 1.56164 11 47 6 71
1.49465 7.17859 22.3655 1.56164 30 35 89 57
4.07265 0.551334 0.0240032 1.56164 19 61 85 14
4.47485 6.48261 6.98787 1.56552 23 67 110 68
1.09245 1.24732 15.4017 1.56552 98 7 39 40
1.6912 9.20376 4.20689 1.56552 82 116 31 81
3.8761 -1.47383 18.1826 1.56552 54 15 53 104
4.93026 7.66974 18.8359 1.56675 100 79 119 104
3.42069 3.80478 7.64115 1.56675 37 101 110 118
0.637039 0.0601799 3.55361 1.56675 51 107 116 112
2.14661 3.92514 14.7484 1.56675 98 106 65 113
4.24071 6.9276 6.41621 1.56872 90 23 87 24
1.32659 0.802319 15.9733 1.56872 59 7 8 62
4.11024 -1.02883 17.611 1.56872 16 45 48 15
1.45706 8.75876 4.77856 1.56872 31 32 73 76
0.0528865 4.53684 20.2644 1.57578 29 35 84 119
2.83654 7.05805 13.3199 1.57578 70 21 27 113
5.51441 3.19309 2.12514 1.57578 56 107 13 19
2.73076 0.671875 9.06962 1.57578 101 5 11 42
5.30669 -1.2065 20.6612 1.5824 12 14 18 104
2.52304 0.979988 12.9231 1.5824 10 6 98 4
0.260613 8.93643 1.72832 1.5824 28 34 116 30
3.04426 6.74994 9.46645 1.5824 110 20 22 26
3.44435 7.74468 18.4879 1.58633 99 115 102 104
2.12295 -0.0147576 3.90165 1.58633 103 116 114 111
0.660702 3.8502 15.0964 1.58633 98 105 96 109
4.9066 3.87972 7.29311 1.58633 97 108 110 117
1.27419 0.849815 15.9422 1.59174 59 7 16 62
4.29311 6.88011 6.44736 1.59174 90 23 32 87
4.05784 -1.07633 17.6421 1.59174 8 45 48 15
1.50946 8.80625 4.74741 1.59174 31 73 76 24
2.82957 7.10037 13.2415 1.59191 70 77 21 27
2.73773 0.629552 9.14799 1.59191 5 11 42 49
5.52138 3.23541 2.04678 1.59191 56 63 13 19
0.0459164 4.49451 20.3428 1.59191 29 35 84 91
1.22283 0.622939 7.11953 1.59238 97 101 112 5
4.00648 3.24202 4.07524 1.59238 103 107 13 118
4.34447 7.10698 15.27 1.59238 21 109 113 100
1.56082 4.4879 18.3143 1.59238 106 29 115 119
4.04528 3.30217 4.05119 1.59395 107 13 78 118
1.26163 0.562796 7.14358 1.59395 101 64 112 5
1.52202 4.42776 18.3383 1.59395 50 106 29 119
4.30567 7.16713 15.246 1.59395 21 113 36 100
1.50907 8.74568 4.73011 1.59673 31 32 73 24
